"","FIPS","Locality","Center_Infant","Center_Toddler","Center_Preschool","Center_SchoolAge","Family_Infant","Family_Toddler","Family_Preschool","Family_SchoolAge"
"1","001","Accomack County",180,170,120,110,100,90,85,90
"2","003","Albemarle County",275,260,225,225,150,150,150,135
"3","510","Alexandria City",440,405,355,340,300,260,250,250
"4","005","Alleghany/Covington",150,140,120,120,135,110,110,100
"5","007","Amelia County",140,130,115,115,150,125,90,85
"6","009","Amherst County",140,130,115,115,150,125,90,85
"7","011","Appomattox County",140,130,110,100,150,125,90,85
"8","013","Arlington County",490,480,425,350,350,350,350,315
"9","015","Augusta/Staunton/Waynesboro",180,170,155,150,160,150,135,130
"10","017","Bath County",160,165,150,130,140,125,125,125
"11","019","Bedford County",215,200,125,105,160,150,135,130
"12","021","Bland County",125,120,110,105,100,100,100,100
"13","023","Botetourt County",150,140,125,150,135,110,110,100
"14","520","Bristol City",140,120,110,100,100,100,100,100
"15","025","Brunswick County",140,130,115,115,150,125,90,85
"16","027","Buchanan County",125,120,110,105,100,100,100,100
"17","029","Buckingham County",140,130,115,115,150,125,90,85
"18","031","Campbell County",140,125,110,110,160,150,135,130
"19","033","Caroline County",190,150,135,150,140,125,125,125
"20","035","Carroll County",125,120,110,105,100,100,100,100
"21","036","Charles City County",175,165,145,125,150,135,125,115
"22","037","Charlotte County",140,130,115,115,150,125,90,85
"23","540","Charlottesville City",275,260,225,225,150,150,150,135
"24","550","Chesapeake City",285,230,185,165,180,155,150,140
"25","041","Chesterfield / Colnial Heights",280,280,225,200,175,165,145,125
"26","043","Clarke County",215,200,175,165,160,150,135,130
"27","045","Craig County",150,140,120,120,135,110,110,100
"28","047","Culpeper County",225,215,195,175,180,175,160,145
"29","049","Cumberland County",140,130,115,115,150,125,90,85
"30","590","Danville City",145,135,125,120,135,110,110,75
"31","051","Dickenson County",125,120,110,105,100,100,100,100
"32","053","Dinwiddie County",175,165,145,125,150,135,125,115
"33","057","Essex County",175,165,145,125,150,135,125,115
"34","059","Fairfax County",410,390,350,305,275,260,250,225
"35","061","Fauquier County",300,285,195,180,210,200,190,155
"36","063","Floyd County",150,140,120,120,135,110,110,100
"37","065","Fluvanna County",170,165,150,130,140,130,125,125
"38","620","Franklin City",180,170,155,145,145,125,125,100
"39","067","Franklin County",150,140,120,120,150,140,135,130
"40","069","Frederick County",205,190,170,140,160,150,135,130
"41","630","Fredericksburg City",225,215,195,175,180,175,160,145
"42","640","Galax City",125,120,115,105,100,100,100,100
"43","071","Giles County",150,140,120,120,135,110,110,100
"44","073","Gloucester County",175,165,160,135,150,135,125,115
"45","075","Goochland County",280,260,210,185,175,160,145,125
"46","077","Grayson County",125,120,110,105,100,100,100,100
"47","079","Greene County",160,165,150,130,140,125,125,125
"48","081","Greensville County",175,165,145,125,150,135,125,115
"49","083","Halifax County",140,130,115,115,150,125,90,85
"50","650","Hampton City",215,190,175,140,150,140,130,140
"51","085","Hanover County",250,235,205,190,175,160,145,125
"52","087","Henrico County",300,260,230,180,180,165,150,125
"53","089","Henry/Martinsville",130,115,95,95,135,110,110,100
"54","091","Highland County",160,165,150,130,140,125,125,125
"55","670","Hopewell City",175,165,145,125,150,135,125,115
"56","093","Isle of Wight County",180,170,150,130,145,125,125,100
"57","095","James City County",235,235,205,155,170,150,150,130
"58","097","King and Queen County",175,165,145,125,150,135,125,115
"59","099","King George County",190,185,160,150,180,175,160,145
"60","101","King William County",175,165,145,125,150,135,125,115
"61","103","Lancaster County",175,165,145,125,150,135,125,115
"62","105","Lee County",125,120,110,105,100,100,100,100
"63","107","Loudoun County",405,375,340,295,260,250,250,250
"64","109","Louisa County",160,165,150,130,140,125,125,125
"65","111","Lunenburg County",140,130,115,115,150,125,90,85
"66","680","Lynchburg City",155,145,130,120,160,150,135,130
"67","113","Madison County",225,215,195,175,180,175,160,145
"68","683","Manassas City",285,275,250,200,275,260,250,225
"69","685","Manassas Park City",405,385,345,300,275,260,250,225
"70","115","Mathews County",175,165,145,125,150,135,125,115
"71","117","Mecklenburg County",140,130,100,100,150,125,90,85
"72","119","Middlesex County",175,165,145,125,150,135,125,115
"73","121","Montgomery County",195,190,175,165,160,150,120,100
"74","125","Nelson County",160,165,150,145,140,125,125,125
