"","FIPS","Name","2030 Total Population","2030 Total 0-4","2040 Total Population","2040 Total 0-4","2050 Total Population","2050 Total 0-4","City","Population_16plus","Poverty_Percent","Children_U6_Working_Parents","Median_Income","Unemployment_Rate","Licensed_Capacity_Total","Cap_Centers","Cap_Preschools","Cap_Family","Cap_SchoolAge","Infant_Weekly_Cost","Toddler_Weekly_Cost","Preschool_Weekly_Cost","SchoolAge_Weekly_Cost"
"1","51000","Virginia, Statewide","9129001.8887463007","540608.77673621976","9759370.8887463007","582635.47569382738","10535809.888746301","622531.45796232228",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","51001","Accomack","33179.481569379343","1615.0343116755464","30280.272095590091","1432.5597276012588","27834.272095590091","1310.4021354854694","Accomack",32560,19.8,1201,46178,3.8,801,389,150,12,250,150,150,158,137
"3","51003","Albemarle","124016.46874990521","6721.5020683711627","138522.67858685643","7701.7309087196008","155102.17858685643","8456.0982676460335","Albemarle",108819,7.7,4440,84643,3.4,3440,2126,339,108,867,318,310,288,0
"4","51005","Alleghany","13992.511447891069","631.06100827090359","12804.859158152987","580.84754615933821","11808.859158152987","528.18179777778664","Alleghany",15030,15.7,457,48513,4.6,114,114,NA,NA,NA,190,190,170,85
"5","51007","Amelia","13641.61442933308","715.27496233660202","14359.198110251182","744.082544668487","15291.698110251182","786.29612376267175","Amelia",12970,10.7,595,63918,4.4,176,156,20,NA,NA,0,0,0,0
"6","51009","Amherst","29827.232243211587","1528.9163734053523","29098.214802118473","1459.4209390963424","28804.714802118473","1493.4249189646414","Amherst",31782,10.9,1505,57368,4.9,1017,735,54,10,218,188,175,153,130
"7","51011","Appomattox","17017.519734280031","973.17260373558997","17955.772928611776","1036.8841277166073","19162.772928611776","1113.4755215482323","Appomattox",15814,13.5,731,55457,2.8,124,104,20,NA,NA,194,194,174,130
"8","51013","Arlington","265793.64923406998","14665.524135030208","286106.45014065952","16234.768922728161","310701.45014065952","17560.128272525428","Arlington",236434,6.4,11950,122604,2.8,6771,4091,1674,812,194,497,495,423,367
"9","51015","Augusta","80059.717515039738","3969.3089349221677","84727.586737368561","4183.7191290737228","90663.586737368561","4461.6567817878404","Augusta",75754,8.9,3273,65076,2.9,1166,953,38,16,159,242,242,215,0
"10","51017","Bath","3634.1497399531113","136.92773646746107","3167.2450971119806","120.62654485846296","2747.7450971119806","108.37236799841985","Bath",4248,18.7,138,55481,6.4,32,32,NA,NA,NA,185,175,175,130
"11","51019","Bedford","82821.55303751021","4091.9880316701174","87901.911652279698","4393.0099744402814","94297.911652279698","4661.341682229142","Bedford",78965,8.1,3000,67136,3.4,1179,641,54,24,460,305,273,215,145
"12","51021","Bland","5634.0656125771593","185.06827150754592","5254.9145017604505","168.34364390462233","4954.4145017604505","153.44161823797069","Bland",6334,11.3,254,50365,4.3,20,NA,20,NA,NA,135,125,120,0
"13","51023","Botetourt","33556.005898281459","1563.8814274152426","34588.317252298235","1626.6077435849363","36138.317252298235","1668.1288787864285","Botetourt",33440,6.2,1040,72719,2.8,836,499,NA,12,325,190,167,137,0
"14","51025","Brunswick","14059.536721098775","517.82475821998662","12586.157768580784","434.08644682239208","11301.157768580784","392.15582623976042","Brunswick",16336,19.5,616,46111,6.9,187,NA,187,NA,NA,0,0,0,0
"15","51027","Buchanan","16373.879978329562","635.45567475596863","12869.75636219125","501.56984078500324","9558.2563621912504","375.09166150091471","Buchanan",21374,24.9,484,34302,6.5,173,NA,173,NA,NA,0,0,0,0
"16","51029","Buckingham","16265.456742258273","769.26876538230715","16617.243905645355","766.33439640468168","17217.743905645355","824.43008395705522","Buckingham",17087,16.2,548,48603,5.8,20,NA,20,NA,NA,0,0,0,0
"17","51031","Campbell","55739.399998467175","3050.6680109994827","57192.392690664317","3102.036120661834","59501.392690664317","3279.328269850067","Campbell",55406,10.5,2299,52319,3.8,1709,961,38,36,674,196,179,148,150
"18","51033","Caroline","32752.688285571454","2121.0390727203744","36588.069047942547","2362.9991974987456","40971.069047942547","2660.7023983378945","Caroline",30581,8.2,1682,67901,4.6,879,650,80,24,125,0,150,106,130
"19","51035","Carroll","27862.800338756319","1305.8080026994955","27407.586786313786","1288.9253728527256","27362.586786313786","1299.7536038434866","Carrol",8509358,NA,396207,NA,4.6,0,NA,NA,NA,NA,0,0,0,0
"20","51036","Charles","6199.8377717127942","220.82532047686658","6033.0403323196351","202.77207022825183","5956.5403323196351","196.92925058876995","Charles%20City",6965,12.7,138,60096,3.1,80,63,17,NA,NA,0,0,0,0
