"","TimeLost","EMP","HRSWorked","Kid1","Kid2","Kid3","Kid4","Kid5","Kid6","age1","age_group1","age2","age_group2","age3","age_group3","age4","age_group4","age5","age_group5","age6","age_group6","Education","ParentAge","Race","Income","HouseholdID","PersonalNumber","PID","Month","Year","TimeID","Weight","NonMetro","Female","SingleFamily","WelfareorSS","WorkFromHome"
"1",0,0,0,1,0,0,0,0,0,13,"School Age",3020,"No Child",3020,"No Child",3020,"No Child",3020,"No Child",3020,"No Child","High School or Some College",34,"Black",1330,11,101,"11101",1,2021,"12021",2365014431100,0,0,1,0,0
"2",0,0,0,1,0,0,0,0,0,13,"School Age",3020,"No Child",3020,"No Child",3020,"No Child",3020,"No Child",3020,"No Child","High School or Some College",34,"Black",1330,11,101,"11101",10,2021,"102021",2327213409200,0,0,1,0,0
"3",0,0,0,1,0,0,0,0,0,13,"School Age",3020,"No Child",3020,"No Child",3020,"No Child",3020,"No Child",3020,"No Child","High School or Some College",34,"Black",1190,11,101,"11101",11,2021,"112021",2322981768700,0,0,1,0,0
"4",0,0,0,1,0,0,0,0,0,13,"School Age",3020,"No Child",3020,"No Child",3020,"No Child",3020,"No Child",3020,"No Child","High School or Some College",34,"Black",1190,11,101,"11101",12,2021,"122021",2271782688700,0,0,1,0,0
"5",0,0,0,1,0,0,0,0,0,13,"School Age",3020,"No Child",3020,"No Child",3020,"No Child",3020,"No Child",3020,"No Child","High School or Some College",34,"Black",1330,11,101,"11101",2,2021,"22021",2363948531200,0,0,1,0,0
"6",0,0,0,1,0,0,0,0,0,13,"School Age",3020,"No Child",3020,"No Child",3020,"No Child",3020,"No Child",3020,"No Child","High School or Some College",34,"Black",1330,11,101,"11101",3,2021,"32021",2330916775300,0,0,1,0,0
"7",0,0,0,1,0,0,0,0,0,13,"School Age",3020,"No Child",3020,"No Child",3020,"No Child",3020,"No Child",3020,"No Child","High School or Some College",34,"Black",1330,11,101,"11101",4,2021,"42021",2358783877300,0,0,1,0,0
"8",0,0,0,1,0,0,0,0,0,13,"School Age",3020,"No Child",3020,"No Child",3020,"No Child",3020,"No Child",3020,"No Child","High School or Some College",34,"Black",1330,11,101,"11101",5,2021,"52021",2493560449200,0,0,1,0,0
"9",0,0,0,1,0,0,0,0,0,13,"School Age",3020,"No Child",3020,"No Child",3020,"No Child",3020,"No Child",3020,"No Child","High School or Some College",34,"Black",1330,11,101,"11101",6,2021,"62021",2362431306400,0,0,1,0,0
"10",0,0,0,1,0,0,0,0,0,13,"School Age",3020,"No Child",3020,"No Child",3020,"No Child",3020,"No Child",3020,"No Child","High School or Some College",34,"Black",1330,11,101,"11101",7,2021,"72021",2391915212900,0,0,1,0,0
