SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,POPESTIMATE,POPEST_MALE,POPEST_FEM,UNDER5_TOT,UNDER5_MALE,UNDER5_FEM,AGE513_TOT,AGE513_MALE,AGE513_FEM,AGE1417_TOT,AGE1417_MALE,AGE1417_FEM,AGE1824_TOT,AGE1824_MALE,AGE1824_FEM,AGE16PLUS_TOT,AGE16PLUS_MALE,AGE16PLUS_FEM,AGE18PLUS_TOT,AGE18PLUS_MALE,AGE18PLUS_FEM,AGE1544_TOT,AGE1544_MALE,AGE1544_FEM,AGE2544_TOT,AGE2544_MALE,AGE2544_FEM,AGE4564_TOT,AGE4564_MALE,AGE4564_FEM,AGE65PLUS_TOT,AGE65PLUS_MALE,AGE65PLUS_FEM,AGE04_TOT,AGE04_MALE,AGE04_FEM,AGE59_TOT,AGE59_MALE,AGE59_FEM,AGE1014_TOT,AGE1014_MALE,AGE1014_FEM,AGE1519_TOT,AGE1519_MALE,AGE1519_FEM,AGE2024_TOT,AGE2024_MALE,AGE2024_FEM,AGE2529_TOT,AGE2529_MALE,AGE2529_FEM,AGE3034_TOT,AGE3034_MALE,AGE3034_FEM,AGE3539_TOT,AGE3539_MALE,AGE3539_FEM,AGE4044_TOT,AGE4044_MALE,AGE4044_FEM,AGE4549_TOT,AGE4549_MALE,AGE4549_FEM,AGE5054_TOT,AGE5054_MALE,AGE5054_FEM,AGE5559_TOT,AGE5559_MALE,AGE5559_FEM,AGE6064_TOT,AGE6064_MALE,AGE6064_FEM,AGE6569_TOT,AGE6569_MALE,AGE6569_FEM,AGE7074_TOT,AGE7074_MALE,AGE7074_FEM,AGE7579_TOT,AGE7579_MALE,AGE7579_FEM,AGE8084_TOT,AGE8084_MALE,AGE8084_FEM,AGE85PLUS_TOT,AGE85PLUS_MALE,AGE85PLUS_FEM,MEDIAN_AGE_TOT,MEDIAN_AGE_MALE,MEDIAN_AGE_FEM
050,51,001,Virginia,Accomack County,1,33418,16488,16930,1845,950,895,3601,1880,1721,1602,873,729,2190,1165,1025,27150,13215,13935,26370,12785,13585,10300,5239,5061,6934,3423,3511,9195,4464,4731,8051,3733,4318,1845,950,895,1931,1017,914,2096,1085,1011,1855,1000,855,1511,816,695,1736,866,870,1796,897,899,1690,824,866,1712,836,876,1837,925,912,2084,1012,1072,2438,1172,1266,2836,1355,1481,2679,1286,1393,2150,1003,1147,1508,699,809,887,413,474,827,332,495,46.6,44.7,48.3
050,51,001,Virginia,Accomack County,2,33392,16487,16905,1834,945,889,3590,1888,1702,1605,871,734,2198,1175,1023,27146,13216,13930,26363,12783,13580,10296,5235,5061,6913,3406,3507,9145,4437,4708,8107,3765,4342,1834,945,889,1913,1013,900,2097,1092,1005,1857,1005,852,1526,824,702,1716,862,854,1797,890,907,1684,814,870,1716,840,876,1820,909,911,2062,1008,1054,2432,1164,1268,2831,1356,1475,2716,1302,1414,2155,1006,1149,1514,704,810,890,415,475,832,338,494,46.6,44.7,48.4
050,51,001,Virginia,Accomack County,3,33410,16410,17000,1793,908,885,3544,1870,1674,1620,850,770,2247,1203,1044,27240,13213,14027,26453,12782,13671,10301,5222,5079,6857,3379,3478,8957,4315,4642,8392,3885,4507,1793,908,885,1875,998,877,2092,1082,1010,1852,987,865,1592,856,736,1635,821,814,1826,894,932,1673,805,868,1723,859,864,1735,843,892,2039,1008,1031,2373,1111,1262,2810,1353,1457,2829,1339,1490,2250,1077,1173,1555,703,852,922,424,498,836,342,494,46.9,45.0,48.7
050,51,001,Virginia,Accomack County,4,33223,16327,16896,1731,850,881,3414,1798,1616,1657,854,803,2261,1236,1025,27228,13248,13980,26421,12825,13596,10258,5237,5021,6769,3371,3398,8755,4207,4548,8636,4011,4625,1731,850,881,1781,951,830,2062,1071,991,1876,1000,876,1613,866,747,1582,839,743,1812,874,938,1668,813,855,1707,845,862,1672,792,880,2027,1015,1012,2311,1076,1235,2745,1324,1421,2938,1402,1536,2231,1067,1164,1706,784,922,951,415,536,810,343,467,47.4,45.4,49.1
050,51,001,Virginia,Accomack County,5,33239,16342,16897,1708,826,882,3363,1769,1594,1681,868,813,2298,1255,1043,27323,13310,14013,26487,12879,13608,10329,5319,5010,6756,3402,3354,8539,4077,4462,8894,4145,4749,1708,826,882,1779,934,845,1990,1041,949,1959,1063,896,1614,854,760,1540,847,693,1792,877,915,1692,829,863,1732,849,883,1644,781,863,1980,987,993,2282,1059,1223,2633,1250,1383,3006,1445,1561,2308,1095,1213,1780,825,955,995,439,556,805,341,464,47.6,45.3,49.4
050,51,003,Virginia,Albemarle County,1,112395,54072,58323,5921,2992,2929,11594,5943,5651,5200,2668,2532,13200,6320,6880,92338,43814,48524,89680,42469,47211,45058,22094,22964,27905,13765,14140,27116,12952,14164,21459,9432,12027,5921,2992,2929,6278,3220,3058,6563,3382,3181,9798,4704,5094,7355,3625,3730,7155,3397,3758,7135,3539,3596,7183,3629,3554,6432,3200,3232,6137,3058,3079,6604,3216,3388,7040,3283,3757,7335,3395,3940,6764,3128,3636,5550,2551,2999,3751,1676,2075,2574,1099,1475,2820,978,1842,39.2,38.0,40.4
050,51,003,Virginia,Albemarle County,2,112510,54102,58408,5825,2930,2895,11592,5946,5646,5210,2674,2536,13215,6331,6884,92541,43902,48639,89883,42552,47331,45102,22120,22982,27940,13773,14167,27049,12923,14126,21679,9525,12154,5825,2930,2895,6290,3218,3072,6565,3386,3179,9779,4699,5080,7383,3648,3735,7111,3378,3733,7132,3529,3603,7217,3641,3576,6480,3225,3255,6110,3040,3070,6591,3216,3375,7012,3268,3744,7336,3399,3937,6825,3159,3666,5637,2583,3054,3786,1693,2093,2605,1112,1493,2826,978,1848,39.3,38.1,40.5
050,51,003,Virginia,Albemarle County,3,113882,54743,59139,5725,2888,2837,11538,5964,5574,5258,2716,2542,13452,6443,7009,93993,44535,49458,91361,43175,48186,45848,22458,23390,28486,13977,14509,26885,12862,14023,22538,9893,12645,5725,2888,2837,6320,3244,3076,6566,3398,3168,9834,4759,5075,7528,3722,3806,7140,3428,3712,7259,3565,3694,7353,3661,3692,6734,3323,3411,6022,2991,3031,6653,3273,3380,6867,3205,3662,7343,3393,3950,6955,3213,3742,6007,2735,3272,3949,1755,2194,2725,1174,1551,2902,1016,1886,39.4,38.2,40.7
050,51,003,Virginia,Albemarle County,4,114845,55175,59670,5621,2795,2826,11457,5909,5548,5338,2742,2596,13299,6364,6935,95064,45101,49963,92429,43729,48700,46052,22557,23495,28783,14149,14634,26760,12843,13917,23587,10373,13214,5621,2795,2826,6395,3267,3128,6430,3340,3090,9780,4722,5058,7489,3686,3803,7029,3424,3605,7338,3610,3728,7533,3705,3828,6883,3410,3473,6042,2966,3076,6598,3296,3302,6790,3202,3588,7330,3379,3951,7133,3274,3859,6100,2780,3320,4455,1991,2464,2885,1237,1648,3014,1091,1923,39.9,38.7,41.1
050,51,003,Virginia,Albemarle County,5,115676,55548,60128,5520,2719,2801,11286,5820,5466,5288,2739,2549,13304,6357,6947,96232,45637,50595,93582,44270,49312,46385,22745,23640,29069,14318,14751,26607,12767,13840,24602,10828,13774,5520,2719,2801,6371,3258,3113,6191,3231,2960,9832,4762,5070,7484,3665,3819,7032,3457,3575,7348,3612,3736,7561,3714,3847,7128,3535,3593,6157,2997,3160,6535,3262,3273,6654,3165,3489,7261,3343,3918,7292,3335,3957,6309,2871,3438,4755,2142,2613,3094,1308,1786,3152,1172,1980,40.3,39.1,41.5
