City,Population_16plus,Poverty_Percent,Children_U6_Working_Parents,Median_Income,Unemployment_Rate,Licensed_Capacity_Total,Cap_Centers,Cap_Preschools,Cap_Family,Cap_SchoolAge,Infant_Weekly_Cost,Toddler_Weekly_Cost,Preschool_Weekly_Cost,SchoolAge_Weekly_Cost
Accomack,32560,19.8,1201,46178,3.8,801,389,150,12,250,150,150,158,137
Albemarle,108819,7.7,4440,84643,3.4,3440,2126,339,108,867,318,310,288,0
Alexandria,158309,9.4,7865,102227,3.3,18457,9016,2453,2256,4732,435,410,379,256
Alleghany,15030,15.7,457,48513,4.6,114,114,NA,NA,NA,190,190,170,85
Amelia,12970,10.7,595,63918,4.4,176,156,20,NA,NA,0,0,0,0
Amherst,31782,10.9,1505,57368,4.9,1017,735,54,10,218,188,175,153,130
Appomattox,15814,13.5,731,55457,2.8,124,104,20,NA,NA,194,194,174,130
Arlington,236434,6.4,11950,122604,2.8,6771,4091,1674,812,194,497,495,423,367
Augusta,75754,8.9,3273,65076,2.9,1166,953,38,16,159,242,242,215,0
Bath,4248,18.7,138,55481,6.4,32,32,NA,NA,NA,185,175,175,130
Bedford,78965,8.1,3000,67136,3.4,1179,641,54,24,460,305,273,215,145
Bland,6334,11.3,254,50365,4.3,20,NA,20,NA,NA,135,125,120,0
Botetourt,33440,6.2,1040,72719,2.8,836,499,NA,12,325,190,167,137,0
Bristol,17059,22.1,714,39679,6.3,1154,445,174,24,511,128,126,123,100
Brunswick,16336,19.5,616,46111,6.9,187,NA,187,NA,NA,0,0,0,0
Buchanan,21374,24.9,484,34302,6.5,173,NA,173,NA,NA,0,0,0,0
Buckingham,17087,16.2,548,48603,5.8,20,NA,20,NA,NA,0,0,0,0
Buena%20Vista,6477,16.9,278,36634,1.8,56,56,NA,NA,NA,0,0,0,0
Campbell,55406,10.5,2299,52319,3.8,1709,961,38,36,674,196,179,148,150
Caroline,30581,8.2,1682,67901,4.6,879,650,80,24,125,0,150,106,130
Carrol,8509358,NA,396207,NA,4.6,0,NA,NA,NA,NA,0,0,0,0
Charles%20City,6965,12.7,138,60096,3.1,80,63,17,NA,NA,0,0,0,0
Charlotte,11953,24.1,461,40924,5.5,78,78,NA,NA,NA,0,0,0,0
Charlottesville,47217,23.1,1838,59598,4.6,5946,2821,612,136,2377,339,316,290,379
Chesapeake,242647,7.5,12210,81261,5.2,7640,4754,542,157,2187,314,280,231,177
Chesterfield,348500,6.6,17430,84645,4.7,14488,10757,709,269,2753,288,276,233,187
Clarke,14498,NA,349,86154,4.6,319,200,20,24,75,246,237,195,136
Colonial%20Heights,17283,9.9,894,60522,6.1,351,208,60,8,75,0,0,225,0
Covington,5653,11.6,352,41024,2.7,327,327,NA,NA,NA,190,190,170,85
Craig,5103,11.9,244,57792,1.7,100,100,NA,NA,NA,150,150,150,105
Culpeper,51935,7.8,2453,80663,4.6,2425,843,274,58,1250,250,226,196,115
Cumberland,9869,10.5,184,50565,2.3,24,NA,NA,24,NA,0,0,0,0
Danville,40668,NA,1929,37147,7.1,1119,748,260,11,100,195,195,185,0
Dickenson,14524,23.4,447,30116,4.9,104,64,40,NA,NA,0,0,0,0
Dinwiddie,28686,11.1,1096,65485,6.3,511,367,72,72,NA,0,240,170,145
Emporia,5408,21.8,441,30058,16.7,304,240,40,24,NA,0,0,117,0
Essex,10960,NA,644,51125,4.6,311,232,55,24,NA,0,0,0,0
Fairfax,23312,9.8,1450,109708,4.6,8160,3772,1236,822,2330,446,421,388,281
Falls%20Church,14309,NA,664,146922,4.4,6728,3316,890,962,1560,488,488,431,375
Fauquier,70353,5.5,3235,105665,2.9,3232,1113,263,77,1779,352,276,234,205
Floyd,15766,10.1,495,51250,3.1,274,151,51,12,60,0,0,0,0
Fluvanna,26873,4.7,1178,78885,2.5,333,309,NA,24,NA,0,0,150,0
Franklin,8015,17.5,547,49811,9.9,357,233,NA,24,100,147,142,131,128
Frederick,88054,5.8,3789,80011,3.3,1159,1046,74,39,NA,232,217,175,132
Fredericksburg,29059,13.9,1323,69528,5.8,6857,5293,344,176,1044,234,225,187,159
Galax,6402,24.1,296,35184,8.3,310,164,65,48,33,105,95,85,0
Giles,16760,9.8,560,57279,4.1,368,224,44,NA,100,0,0,0,0
Gloucester,37362,7.9,947,71649,3.6,414,252,150,12,NA,160,160,140,130
Goochland,23472,4.4,616,97146,3.7,390,230,NA,NA,160,285,255,216,200
Grayson,15651,16.4,499,41558,4.3,43,31,NA,12,NA,105,95,85,0
Greene,19734,9.8,921,67266,4.4,579,227,40,12,300,0,197,188,95
Greensville,11403,13.7,440,49756,5.3,32,NA,20,12,NA,0,0,0,0
Halifax,34295,15.2,1343,43714,3.9,245,140,100,5,NA,0,0,128,0
Hampton,135169,15.3,6675,57041,6.1,3352,2627,317,148,260,207,203,176,125
Hanover,106538,4.9,4418,91444,3.2,5373,4595,338,NA,440,268,256,207,151
Harrisonburg,53558,25.5,1960,49117,4.7,1777,757,345,48,627,205,203,183,144
Henrico,330076,8.8,16919,72295,4.1,17818,11205,1118,363,5132,295,277,227,158
Henry,51032,15.6,1703,38511,6.3,679,161,40,26,452,175,175,147,0
Highland,2202,10.2,54,51831,11.4,37,37,NA,NA,NA,185,175,175,130
Hopewell,22500,24.7,1043,43262,8.4,474,438,NA,36,NA,0,0,0,0
Isle%20Of%20Wight,37107,9.4,1787,77870,4.6,1341,658,59,24,600,275,275,175,0
James%20City,76032,6.6,2503,91675,4.1,3551,1795,356,NA,1400,216,210,183,159
King%20and%20Queen,7011,NA,223,65385,3.5,150,100,50,NA,NA,0,0,0,0
King%20George,26679,5.3,1112,96711,3.9,670,658,NA,12,NA,195,190,111,0
King%20William,16985,7.2,921,73284,4.1,443,271,40,32,100,0,0,0,0
Lancaster,10686,14.6,216,59736,9.9,361,NA,147,24,190,0,0,0,0
Lee,23723,27.5,879,35006,9.7,220,30,190,NA,NA,0,0,0,0
Lexington,7205,22.1,197,50714,3.4,493,169,124,NA,200,0,0,0,0
Loudoun,405312,3.2,22539,147111,3.6,19107,15643,1482,1733,249,407,389,354,301
Louisa,36654,11.4,1471,67027,5.2,307,194,89,24,NA,200,200,200,0
Lunenburg,12294,14.9,748,45884,3.8,72,22,50,NA,NA,0,0,0,0
Lynchburg,80970,17.1,3747,49201,6.3,3128,2068,252,80,728,196,192,171,158
Madison,13208,9.6,377,63482,4.1,160,120,40,NA,NA,180,150,150,0
Manassas%20Park,17548,NA,1063,81639,3.1,89,NA,75,14,NA,0,0,0,0
Manassas,41038,NA,2418,86227,4.4,6442,4591,273,168,1410,381,369,342,249
Martinsville,12646,26.4,729,36166,3.9,973,180,102,34,657,160,155,142,140
Mathews,8760,8.5,133,74489,4.5,70,NA,20,NA,50,0,0,0,0
Mecklenburg,30726,NA,1144,50224,3.4,463,403,60,NA,NA,0,0,125,0
Middlesex,10642,9.7,276,57060,5.2,247,58,13,46,130,0,0,0,0
Montgomery,98495,23.5,3252,59126,3.5,2295,1770,220,45,260,244,241,232,0
Nelson,14812,11.5,584,62203,3.1,105,NA,65,NA,40,0,0,152,143
New%20Kent,22310,4.8,823,97688,3.1,538,511,15,12,NA,239,219,219,145
Newport%20News,179582,14.8,9922,54511,5.7,6448,4355,787,21,1285,262,230,200,153
Norfolk,244300,17.8,12436,53026,4.6,6562,3870,662,247,1783,226,207,187,138
Northampton,11826,16.5,364,50819,4.4,543,107,100,26,310,0,0,0,0
Northumberland,12151,13.8,300,59437,4.6,212,NA,NA,12,200,0,0,0,0
Norton,3969,31.6,77,30518,8.6,293,223,20,NA,50,290,260,260,0
Nottoway,15338,16.9,499,49983,4.3,205,165,40,NA,NA,130,130,100,0
Orange,36501,10.7,1652,74446,5.5,719,348,20,76,275,210,187,177,133
Page,23862,13.4,1014,51878,5.2,222,170,40,12,NA,0,0,0,0
Patrick,17660,12.9,478,46941,3.7,64,44,20,NA,NA,0,0,0,0
Petersburg,30791,22.6,1759,43029,12.6,1515,654,163,80,618,0,0,0,0
