Locality,Total Count,Total Expenditures,month,year,,,
Accomack,21,3880,7,2017,,,
Accomack,20,3657,8,2017,,,
Accomack,26,5875,9,2017,,,
Accomack,30,6396,10,2017,,,
Accomack,27,5933,11,2017,,,
Accomack,27,5450,12,2017,,,
Accomack,26,4690,1,2018,,25.16666667,5198.5
Accomack,24,5089,2,2018,,,
Accomack,24,4446,3,2018,,,
Accomack,17,3419,4,2018,,,
Accomack,21,4902,5,2018,,,
Accomack,23,4830,6,2018,,,
Accomack,23,6378,7,2018,,,
Accomack,19,5497,8,2018,,,
Accomack,19,5459,9,2018,,,
Accomack,14,4004,10,2018,,,
Accomack,13,3290,11,2018,,,
Accomack,21,5951,12,2018,,20.33333333,4829.583333
Accomack,19,4863,1,2019,,,
Accomack,24,6975,2,2019,,,
Accomack,22,5969,3,2019,,,
Accomack,26,7375,4,2019,,,
Accomack,27,6939,5,2019,,,
Accomack,26,7533,6,2019,,,
Accomack,30,8909.7,7,2019,,,
Accomack,32,7921,8,2019,,,
Accomack,36,8826,9,2019,,,
Accomack,25,6388,10,2019,,,
Accomack,29,9314,11,2019,,,
Accomack,30,7808.2,12,2019,,27.16666667,
Accomack,28,8365,1,2020,,,
Accomack,32,8641,2,2020,,,
Accomack,27,7169.9,3,2020,,,
Accomack,24,5232.6,4,2020,,,
Accomack,16,5062,5,2020,,,
Accomack,27,12522,6,2020,,,
Accomack,26,13258,7,2020,,,
Accomack,26,8052,8,2020,,,
Accomack,21,6204,9,2020,,,
Accomack,22,4279.4,10,2020,,,
Accomack,21,4260.8,11,2020,,,
Accomack,18,3885.9,12,2020,,,
Accomack,14,3363.6,1,2021,,,
Accomack,REDACTED,1302.5,2,2021,,,
Accomack,REDACTED,1410.8,3,2021,,,
Accomack,12,2320.5,4,2021,,,
Accomack,15,3131.4,5,2021,,,
Accomack,15,3274.9,6,2021,,,
Accomack,16,6182.1,7,2021,,,
Accomack,17,6679,8,2021,,,
Accomack,17,5675.5,9,2021,,,
Accomack,19,6154.3,10,2021,,,
Accomack,19,6487,11,2021,,,
Accomack,22,7836,12,2021,,,
Accomack,18,6628,1,2022,,,
Accomack,20,7653,2,2022,,,
Accomack,21,7311.5,3,2022,,,
Accomack,21,8053,4,2022,,,
Accomack,25,8990.5,5,2022,,,
Accomack,24,9649.5,6,2022,,,
Accomack,35,13595.5,7,2022,,,
Accomack,33,14061,8,2022,,,
Accomack,38,16753,9,2022,,,
Accomack,39,14759,10,2022,,,
Accomack,35,27658,11,2022,,,
Accomack,42,36124,12,2022,,,
Accomack,43,35221,1,2023,,,
Accomack,44,32658,2,2023,,,
Accomack,46,31228,3,2023,,,
Accomack,51,39314,4,2023,,,
Accomack,50,32732,5,2023,,,
Accomack,53,41447,6,2023,,,
Accomack,62,45957,7,2023,,,
Accomack,77,51875,8,2023,,,
Accomack,69,53444,9,2023,,,
Accomack,47,37445,10,2023,,,
Accomack,51,42263,11,2023,,,
Accomack,55,46889,12,2023,,,
Accomack,58,52627,2,2024,,,
Accomack,63,51286,5,2024,,,
Accomack,64,54371,6,2024,,,
Accomack,74,55599,7,2024,,,
Accomack,85,71440,8,2024,,,
Accomack,92,67634,9,2024,,,
Accomack,64,46183,10,2024,,,
Accomack,70,50410,11,2024,,,
Accomack,70,47158,12,2024,,,
Accomack,67,51022,1,2025,,,
Accomack,76,56800,2,2025,,,
Accomack,74,47384,3,2025,,,
Accomack,67,49610,4,2025,,,
Accomack,71,51347,5,2025,,,
Accomack,69,48993,6,2025,,,
Albemarle,136,72086,7,2017,,,
Albemarle,134,81946,8,2017,,,
Albemarle,149,92114,9,2017,,,
Albemarle,127,57530,10,2017,,,
Albemarle,128,89368,11,2017,,,
Albemarle,128,67874,12,2017,,,
Albemarle,124,58162,1,2018,,,
Albemarle,123,74601,2,2018,,,
Albemarle,135,75367,3,2018,,,
Albemarle,125,74318,4,2018,,,
Albemarle,126,78907,5,2018,,,
Albemarle,127,79140,6,2018,,,
Albemarle,119,80135,7,2018,,,
Albemarle,108,84963,8,2018,,,
Albemarle,105,72631,9,2018,,,
Albemarle,93,56351,10,2018,,,
Albemarle,84,64152,11,2018,,,
Albemarle,88,61852,12,2018,,,
Albemarle,90,52276,1,2019,,,
Albemarle,91,66799,2,2019,,,
Albemarle,89,57324,3,2019,,,
Albemarle,91,63548,4,2019,,,
Albemarle,99,68829,5,2019,,,
Albemarle,94,67705,6,2019,,,
Albemarle,103,68604.2,7,2019,,,
Albemarle,129,92914.6,8,2019,,,
Albemarle,141,83993,9,2019,,,
Albemarle,132,76590.2,10,2019,,,
Albemarle,124,84218.4,11,2019,,,
Albemarle,98,57846,12,2019,,,
Albemarle,121,79048,1,2020,,,
Albemarle,122,90322,2,2020,,,
Albemarle,121,80113,3,2020,,,
Albemarle,115,59104.8,4,2020,,,
Albemarle,59,41092,5,2020,,,
Albemarle,102,91549.2,6,2020,,,
Albemarle,112,107597.8,7,2020,,,
Albemarle,108,77095,8,2020,,,
Albemarle,89,54224,9,2020,,,
Albemarle,95,58404.4,10,2020,,,
Albemarle,91,62650,11,2020,,,
Albemarle,91,57824.6,12,2020,,,
Albemarle,89,55763.4,1,2021,,,
Albemarle,92,57419.8,2,2021,,,
Albemarle,90,49573,3,2021,,,
Albemarle,102,69085.2,4,2021,,,
Albemarle,105,76837,5,2021,,,
Albemarle,109,76434,6,2021,,,
Albemarle,122,92120,7,2021,,,
Albemarle,124,101610,8,2021,,,
Albemarle,136,102768.2,9,2021,,,
Albemarle,132,96726.2,10,2021,,,
Albemarle,123,93529,11,2021,,,
Albemarle,137,105200.6,12,2021,,,
Albemarle,133,104223.4,1,2022,,,
Albemarle,138,127531,2,2022,,,
Albemarle,144,106600.4,3,2022,,,
Albemarle,157,124138.6,4,2022,,,
Albemarle,156,118580.6,5,2022,,,
Albemarle,157,126550,6,2022,,,
Albemarle,182,135385.6,7,2022,,,
Albemarle,177,136238.2,8,2022,,,
Albemarle,169,126296.6,9,2022,,,
Albemarle,132,96898.8,10,2022,,,
Albemarle,155,131081,11,2022,,,
Albemarle,155,146998,12,2022,,,
Albemarle,165,158615.62,1,2023,,,
Albemarle,188,158423.99,2,2023,,,
Albemarle,177,140636.15,3,2023,,,
Albemarle,189,168730.46,4,2023,,,
Albemarle,184,152937.93,5,2023,,,
Albemarle,177,165781.46,6,2023,,,
Albemarle,228,205989.04,7,2023,,,
Albemarle,223,190581.17,8,2023,,,
Albemarle,208,193461.89,9,2023,,,
Albemarle,171,151456.25,10,2023,,,
Albemarle,164,160544.34,11,2023,,,
Albemarle,169,161985.77,12,2023,,,
Albemarle,162,150060.98,1,2024,,,
Albemarle,157,164910.74,2,2024,,,
Albemarle,159,147991.65,3,2024,,,
Albemarle,167,152479.2,4,2024,,,
Albemarle,165,160962.4,5,2024,,,
Albemarle,162,168148.73,6,2024,,,
Albemarle,194,175531.42,7,2024,,,
Albemarle,180,195759.22,8,2024,,,
Albemarle,185,160023.06,9,2024,,,
