,Locality,Total Count,Total Expenditures,month,year
998,001 - Accomack,20,3657,8,2017
1996,001 - Accomack,27,5450,12,2017
4979,001 - Accomack,21,3880,7,2017
8955,001 - Accomack,27,5933,11,2017
9949,001 - Accomack,30,6396,10,2017
10941,001 - Accomack,26,5875,9,2017
1,001 - Accomack,17,3419,4,2018
1122,001 - Accomack,19,5497,8,2018
2120,001 - Accomack,21,5951,12,2018
2990,001 - Accomack,24,5089,2,2018
3985,001 - Accomack,26,4690,1,2018
5103,001 - Accomack,23,6378,7,2018
5974,001 - Accomack,23,4830,6,2018
6969,001 - Accomack,24,4446,3,2018
7964,001 - Accomack,21,4902,5,2018
9079,001 - Accomack,13,3290,11,2018
10072,001 - Accomack,14,4004,10,2018
11065,001 - Accomack,19,5459,9,2018
126,001 - Accomack,26,7375,4,2019
1247,001 - Accomack,32,7921,8,2019
2244,001 - Accomack,30,7808.2,12,2019
3114,001 - Accomack,24,6975,2,2019
4109,001 - Accomack,19,4863,1,2019
5228,001 - Accomack,30,8909.7,7,2019
6097,001 - Accomack,26,7533,6,2019
7093,001 - Accomack,22,5969,3,2019
8089,001 - Accomack,27,6939,5,2019
9202,001 - Accomack,29,9314,11,2019
10196,001 - Accomack,25,6388,10,2019
11190,001 - Accomack,36,8826,9,2019
251,001 - Accomack,24,5232.6,4,2020
1372,001 - Accomack,26,8052,8,2020
2368,001 - Accomack,18,3885.9,12,2020
3238,001 - Accomack,32,8641,2,2020
4233,001 - Accomack,28,8365,1,2020
5352,001 - Accomack,26,13258,7,2020
6222,001 - Accomack,27,12522,6,2020
7218,001 - Accomack,27,7169.9,3,2020
8214,001 - Accomack,16,5062,5,2020
9326,001 - Accomack,21,4260.8,11,2020
10320,001 - Accomack,22,4279.4,10,2020
11314,001 - Accomack,21,6204,9,2020
376,001 - Accomack,12,2320.5,4,2021
1495,001 - Accomack,17,6679,8,2021
2488,001 - Accomack,22,7836,12,2021
3363,001 - Accomack,REDACTED,1302.5,2,2021
4358,001 - Accomack,14,3363.6,1,2021
5473,001 - Accomack,16,6182.1,7,2021
6344,001 - Accomack,15,3274.9,6,2021
